orden	collection	item_id	asset_type	size	href	signed
1	MDT-50cm	MDT-50cm-279554-09-2024	image/tiff; application=geotiff	19167776	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/ffe197be8266c59b86e262cb089846da5d6713d42e7b81cc09f520ffc2b6e226	1
1	MDT-50cm	MDT-50cm-279553-09-2024	image/tiff; application=geotiff	18997952	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/52a7aefb4766a5e816ecf04238400c3a0e7c139f49c17a6a10deea5d93d86bab	1
1	MDT-50cm	MDT-50cm-278558-09-2024	image/tiff; application=geotiff	1524822	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/ce165e2c531e18f5fbe8af20a155a6ff4fd90144325dea861936d4af934cbdc4	1
1	MDT-50cm	MDT-50cm-278557-09-2024	image/tiff; application=geotiff	11431465	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/17828c1e5ebb658281399567ecfe723a922b3e8ebe00aa425bca2d0a6fbd4272	1
1	MDT-50cm	MDT-50cm-278556-09-2024	image/tiff; application=geotiff	14934638	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/40889ea52abfd9309be61884c64b1c12cb922efbb8dce813c23440a68c621d7b	1
1	MDT-50cm	MDT-50cm-278555-09-2024	image/tiff; application=geotiff	14615218	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/79d56c9b2c19e6eee9a405e346d569dceeb4767edcff7f887c222f71ca3c48e6	1
1	MDT-50cm	MDT-50cm-278554-09-2024	image/tiff; application=geotiff	16104599	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/9de915fd65203c73ebbaa610594f0fba9e9f3f291bf39c6b8bfca58c61d625a7	1
1	MDT-50cm	MDT-50cm-278553-09-2024	image/tiff; application=geotiff	15977840	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/f5e44c314ef6795c6a68918c912a89df6bdca2dde11f1bf0f71ba787b4b65585	1
1	LAZ	LO-282559-09-2024	application/vnd.laszip	73960797	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/afcfb94ed73ffdd62734c2c46ba59e4999852f27971f6c52906fe4ee72de7a71	1
1	LAZ	LO-282558-09-2024	application/vnd.laszip	112015858	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/1b456ea6c80a99afa7004303a9661362f91a36796d5be8c52f4ca38071fc0e98	1
1	LAZ	LO-282557-09-2024	application/vnd.laszip	142251080	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/b2f62e814ef30c48ba979ffd2d1d4e6730a94d6b2f4c415d069357335adfb3a2	1
1	LAZ	LO-282556-09-2024	application/vnd.laszip	137399435	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/c486321093881249a94fd5d2362372c85e5b06e975a8b65932d82787d49846ea	1
1	LAZ	LO-282555-09-2024	application/vnd.laszip	175103189	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/66ea4787f154bacf7018ce7b6e01330e4513a382fe0278a32c51c4ff8f593bee	1
1	LAZ	LO-282554-09-2024	application/vnd.laszip	158244376	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/8fe5c558fd91fbf71edd1ef238db9d193f46f5ff0039047a79e40004a0a2f1ae	1
1	LAZ	LO-282553-09-2024	application/vnd.laszip	179744536	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/13741ec44f3fa13edc75b6a0a078369b64a9e74de31fcd96df3dcf21755b7ee1	1
1	LAZ	LO-291554-09-2024	application/vnd.laszip	162230412	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/ee2adfe0c362a8ba322995bf933094536c3d662f60631a6d2343bbb56963e7d0	1
1	LAZ	LO-291553-09-2024	application/vnd.laszip	158551571	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/6618b888212ce16e2006ff10768f6f9c2abef619985b95fffce9d3c698155dff	1
1	LAZ	LO-290554-09-2024	application/vnd.laszip	178399963	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/168b60afaa64f01f36979948753852e6e71be0c08b40b69a8437a0cb7f148aba	1
1	LAZ	LO-290553-09-2024	application/vnd.laszip	152758841	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/3036b7e41f0ab05ac9a7b4238de4e6519d6209c5dd3c90de18179bb2df5eed48	1
1	LAZ	LO-289554-09-2024	application/vnd.laszip	173210658	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/6d2ba6ec546739a4f51eeedf14f21b1df118bd10efc85522a3e8c60ef8f5a1a3	1
1	LAZ	LO-289553-09-2024	application/vnd.laszip	120331764	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/02a17c470e511d17919acfa1b9f9d2d33f88b314416a0763dd6ad290d954e63a	1
1	LAZ	LO-288554-09-2024	application/vnd.laszip	169214581	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/8405ab700a8648bf026a9a6ad3d4651bf756545a47407fc1c0f483f7a70e17b1	1
1	LAZ	LO-288553-09-2024	application/vnd.laszip	111892128	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/442bb32f97b52ad29525d71b8bf32d7557ff795243ff7581112c63076114c932	1
1	LAZ	LO-287554-09-2024	application/vnd.laszip	177874439	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/0cfda00d6b19add2c441ddba6e33084a37c2e21687107efa187749ea5aaaf2e8	1
1	LAZ	LO-287553-09-2024	application/vnd.laszip	136408525	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/27535cdb40084b4e04756f7d34af41e02fe01d8aee393871d02f2153297ba348	1
1	LAZ	LO-286556-09-2024	application/vnd.laszip	124305703	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/84c5f61fb21ad14b16c1908b1a2e3ca608dd0b5c62f6fe4f80a4c25827af1199	1
1	LAZ	LO-286555-09-2024	application/vnd.laszip	183109962	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/c08dba9581b3db04c0fc974ea36159a430e40717a26e2bbbe51a5d9aaa92bf44	1
1	LAZ	LO-286554-09-2024	application/vnd.laszip	144355418	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/efde31b616e3b86d307a7b6db0e525efcbb16117000c7ca815513ddbda7ec8c8	1
1	LAZ	LO-286553-09-2024	application/vnd.laszip	177670043	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/875093d2ff649a0be4fa07306c3fd361a992c83186008ab574a91593a62a2b07	1
1	LAZ	LO-285557-09-2024	application/vnd.laszip	123126874	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/98417f60e3aa3ef950ab3da0ea27d357a962197b70ad92e635abe16364a8057d	1
1	LAZ	LO-285556-09-2024	application/vnd.laszip	113140087	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/b145f3916fb08e923d32495ad999669c608530a1e862291175381ea36d3d145e	1
1	LAZ	LO-285555-09-2024	application/vnd.laszip	147936123	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/29a6820f584a7a6bc86b3d3072556c230a0b7a2187f8892e3a4e324b9527a0dd	1
1	LAZ	LO-285554-09-2024	application/vnd.laszip	108916540	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/de2f7b9671c3ac4856b2b90471c616f82d91c9d114574014307b080d32e48025	1
1	LAZ	LO-285553-09-2024	application/vnd.laszip	194550868	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/0d318def0513d1eff62e95e28328e53a88f5568acd72d6e9deba43d6e64a2cd2	1
1	LAZ	LO-284557-09-2024	application/vnd.laszip	122540169	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/3ee2159e9a08e335458b69a04b91cbad83a1c9c79b6ccb21c53f6da5f889e6ce	1
1	LAZ	LO-284556-09-2024	application/vnd.laszip	100838191	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/11a3fabff46b0ba175d91d5ac841847b87d23a6d04d4da5d3f9e97fe0c4acba8	1
1	LAZ	LO-284555-09-2024	application/vnd.laszip	141573793	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/7ea7d4b9080a0d29c6c7c1602fc27dda79bb352c29095ae86ad069f047d21292	1
1	LAZ	LO-284554-09-2024	application/vnd.laszip	119123248	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/cb8a458b9101a3148e60a028439ccfcc6b14cfdedc17c884aa891e2ce1ca54bd	1
1	LAZ	LO-284553-09-2024	application/vnd.laszip	159631343	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/f7f3e4edc877eed79cd57f171887d73e497e76e466c4853ba628277915de0bb2	1
1	LAZ	LO-283558-09-2024	application/vnd.laszip	99493641	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/788633bb0b912de21deb8022c7e6471c326a41b7ac7f37aeb07c236a52bd330c	1
1	LAZ	LO-283557-09-2024	application/vnd.laszip	121802073	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/e44f91de2406d0528c64091bb0d4e3adcc56b55d4c259b55607b537dfcda42dd	1
1	LAZ	LO-283556-09-2024	application/vnd.laszip	100136920	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/247cbf22e5c28485a1a175458638e62b393a3942461772b1d293eef0a4978953	1
1	LAZ	LO-283555-09-2024	application/vnd.laszip	118340829	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/972f27c98287fd5a0019b28ae44f8476e6adb5bca44e0c175e8b37b2de70f2c8	1
1	LAZ	LO-283554-09-2024	application/vnd.laszip	98591968	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/c446312543f1fae691f18123e623a79bda6990d2b32889f74d9b926dc5de51ca	1
1	LAZ	LO-283553-09-2024	application/vnd.laszip	201860742	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/2dde29ae206cd46b1ccacfe77b406b942512b283337629685b285ee7c3c91c9c	1
1	LAZ	LO-281557-09-2024	application/vnd.laszip	134755765	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/7b6dffb07f42401e63111eafe6b58b129654b9d90d11d9c54dbf6b61e5dc728b	1
1	LAZ	LO-281556-09-2024	application/vnd.laszip	159951137	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/d8850828ff7eb9b7f82f5996e3bc522b954b86a52cc8eeb64326b31c38526b86	1
