nome	concello	parroquia	lugar	id_ipaga	cod_impres	tipoloxia	xenerico	ficha	x	y	lon_wgs84	lat_wgs84	observacio
Castro Das Croas	San Sadurniño	San Sadurniño (Santa María)	A Rubiña	GA15076006	San Sadurniño_20191		-	-	575490	4821607	-8.06556223656323	43.54359118222014	"NO PBA denomínase ""Castro de San Sadurniño"""
Castro de Castrelo	San Sadurniño	Santa Mariña do Monte (Santa Mariña)	Castrelo	GA15076003	San Sadurniño_20192		-	-	574659	4826050	-8.075233266384542	43.58367794747816	
Castro de Riboira	San Sadurniño	Lamas (San Xiao)	Riboira	GA15076007	San Sadurniño_20194		-	-	576303	4821617	-8.055496892379018	43.543599965426836	
Castro de Rupiallo	San Sadurniño	San Sadurniño (Santa María)	Vilafiúnce	GA15076009	San Sadurniño_20195		-	-	574341	4820871	-8.079881377191462	43.537082151009194	
Castro de croas de Ramil	San Sadurniño	Lamas (San Xiao)	Ramil		San Sadurniño_20193		-	-	577389	4821317	-8.042097773882631	43.54078893976058	
Coto da Croa	San Sadurniño	Bardaos (Santa María)	O Castro	GA15076005	San Sadurniño_20199		-	-	578090	4825456	-8.032826260167933	43.577979015085575	
Mámoa da Ermida	San Sadurniño	Igrexafeita (Santa María)	A Ermida	GA15076018	San Sadurniño_20226		-	-	580834	4814740	-8.000436085991886	43.481207131645974	
Mámoa da Pena do Cabalo	San Sadurniño	Igrexafeita (Santa María)	O Outeiro	GA15076001	San Sadurniño_20227		-	-	580777	4816403	-8.000903530397089	43.49619374229235	
Mámoa de Bardaos	San Sadurniño	Bardaos (Santa María)	Randulfe	GA15076015	San Sadurniño_20228		-	-	577064	4824313	-8.045691218805501	43.56779596584658	
Mámoa de Campo da Cruz 2	San Sadurniño	Igrexafeita (Santa María)	A Ermida	GA15076014	San Sadurniño_20229		-	-	581232	4814330	-7.995583122120049	43.47747941173235	
Mámoa de Moimentos 1	San Sadurniño	Santa Mariña do Monte (Santa Mariña)	Vilares	GA15076010	San Sadurniño_20230		-	-	572042	4823298	-8.108013554214844	43.5591611167159	SI.2020.100.INV: Corrixida localización e codificación. Narón/San Sadurniño
